address,lat,long
1 NORTH END AVENUE,40.7145314,-74.0169071
377 RECTOR PLACE,40.7098514,-74.0178906
320 ALBANY STREET,40.7101067,-74.0175697
250 SOUTH END AVENUE,40.7097473,-74.0161412
300 ALBANY STREET,40.7099147,-74.0168591
280 RECTOR PLACE,40.7086658,-74.0168587
99 BATTERY PLACE,40.7076228,-74.0165952
10 LITTLE WEST STREET,40.7055724,-74.0175252
2 RIVER TERRACE,40.7161042,-74.0162726
70 BATTERY PLACE,40.706975,-74.0169629
300 NORTH END AVENUE,40.7166122,-74.01435
25 WEST STREET,40.7071344,-74.0152425
87 GREENWICH STREET,40.7078236,-74.0134861
50 TRINITY PLACE,40.7077632,-74.0132985
61 BROADWAY,40.7071046,-74.0128367
44 NEW STREET,40.705853,-74.0120574
50 BROAD STREET,40.7057268,-74.0118626
40 BROAD STREET,40.7060205,-74.0117869
40 EXCHANGE PLACE,40.7056858,-74.0102865
55 WALL STREET,40.7059301,-74.0093415
3 HANOVER SQUARE,40.7050024,-74.0096227
13 SOUTH WILLIAM STREET,40.704522,-74.0103476
44 BEAVER STREET,40.7049035,-74.0107841
54 STANTON ST EXTENSION,40.7042832,-74.0101204
126 WATER STREET,40.7055844,-74.0072315
48 WALL STREET,40.7064764,-74.0091216
60 PINE STREET,40.7067235,-74.0081694
50 PINE STREET,40.7069128,-74.0085806
66 PINE STREET,40.7064627,-74.0077149
10 LIBERTY STREET,40.707363,-74.0081948
90 MAIDEN LANE,40.7069101,-74.0074914
44 WALL STREET,40.7067837,-74.0093849
18 PINE STREET,40.7077279,-74.0097349
120 BROADWAY,40.7082192,-74.0105213
140 BROADWAY,40.7086501,-74.0101174
86 TRINITY PLACE,40.7087569,-74.0128298
22 THAMES STREET,40.7091027,-74.0127686
133 GREENWICH STREET,40.7093333,-74.012664
104 TRINITY PLACE,40.7094597,-74.0119715
120 LIBERTY STREET,40.709767,-74.0124621
114 LIBERTY STREET,40.7097039,-74.0122745
99 WASHINGTON STREET,40.7082654,-74.0141246
102 GREENWICH STREET,40.7084329,-74.0136882
100 GREENWICH STREET,40.7083012,-74.0137459
120 GREENWICH STREET,40.7090066,-74.0133998
LIBERTY STREET,40.710014,-74.0132088
40 RECTOR STREET,40.7086304,-74.0146585
90 WEST STREET,40.7099919,-74.0142584
51 NASSAU STREET,40.7091607,-74.0091436
59 LIBERTY STREET,40.7089878,-74.0096594
160 BROADWAY,40.7093007,-74.0097604
170 BROADWAY,40.7095312,-74.0098326
174 BROADWAY,40.7097947,-74.009728
65 NASSAU STREET,40.7094874,-74.0086567
100 WILLIAM STREET,40.7083457,-74.0071994
90 WILLIAM STREET,40.7080767,-74.0074735
215 PEARL STREET,40.7072176,-74.0063156
211 PEARL STREET,40.7070831,-74.006752
212 PEARL STREET,40.7069157,-74.0062506
125 MAIDEN LANE,40.7065973,-74.0062578
156 FRONT STREET,40.7060758,-74.0055725
175 FRONT STREET,40.706139,-74.0046311
PIER-16 SOUTH STREET,40.7050384,-74.0025211
PIER 19,40.7066414,-73.9998413
89 SOUTH STREET,40.7063586,-74.0038196
199 WATER STREET,40.7068609,-74.0043715
127 JOHN STREET,40.7074098,-74.0047358
135 JOHN STREET,40.7071326,-74.004945
133 JOHN STREET,40.7071738,-74.0049883
40 FULTON STREET,40.7078819,-74.0047539
111 JOHN STREET,40.7077639,-74.0055546
32 CLIFF STREET,40.7081372,-74.0049487
34 CLIFF STREET,40.7081674,-74.0048585
100 GOLD STREET,40.7101025,-74.0032427
117 BEEKMAN STREET,40.7077255,-74.0034013
205 FRONT STREET,40.7071519,-74.0032389
115 SOUTH STREET,40.7072727,-74.0017457
110 SOUTH STREET,40.7071492,-74.0019765
211 FRONT STREET,40.7071684,-74.0025428
229 FRONT STREET,40.7074483,-74.0018864
36 PECK SLIP,40.707517,-74.0017457
138 BEEKMAN STREET,40.7074401,-74.0027592
138 NASSAU STREET,40.7112469,-74.0061825
150 NASSAU STREET,40.7113952,-74.0059048
8 SPRUCE STREET,40.7109698,-74.0056775
276 WATER STREET,40.70884,-74.0011362
274 WATER STREET,40.7088647,-74.0012732
1 PECK SLIP,40.7086341,-74.0019297
334 PEARL STREET,40.7091117,-74.0015979
324 PEARL STREET,40.7089607,-74.0018395
264 WATER STREET,40.7086945,-74.0016195
20 MADISON STREET,40.7103441,-73.9986943
375 PEARL STREET,40.7109068,-74.0011759
27 MADISON STREET,40.7120376,-73.9991163
37 MADISON STREET,40.7120156,-73.9988349
22 PARK PLACE,40.712707,-74.0086102
99 CHURCH STREET,40.7127756,-74.0090359
43 PARK PLACE,40.7137252,-74.0097935
255 GREENWICH STREET,40.7143701,-74.0108722
77 MURRAY STREET,40.7148807,-74.0106594
83 WARREN STREET,40.7151497,-74.0106018
164 JOHN STREET,40.7061226,-74.004458
87 SOUTH STREET,40.7058234,-74.0041153
85 SOUTH STREET,40.7058591,-74.0044399
167 FRONT STREET,40.7060539,-74.0047718
161 MAIDEN LANE,40.7054995,-74.0047681
95 MARGINAL STREET,40.706065,-74.0020847
25 CLIFF STREET,40.7084144,-74.0054356
85 JOHN STREET,40.7085296,-74.0064275
110 WILLIAM STREET,40.7087739,-74.006745
88 NASSAU STREET,40.710009,-74.0077623
122 FULTON STREET,40.7099513,-74.0076468
9 DUTCH STREET,40.7096329,-74.007553
111 WILLIAM STREET,40.7090072,-74.0072716
75 WARREN STREET,40.7150097,-74.0102951
81 MURRAY STREET,40.7149328,-74.0107749
77 WARREN STREET,40.7150454,-74.0103709
65 WEST BROADWAY,40.7146063,-74.0096818
37 MURRAY STREET,40.7140519,-74.0089279
55 WARREN STREET,40.7144773,-74.0094942
28 CLIFF STREET,40.7080631,-74.0051037
79 WARREN STREET,40.7150811,-74.0104503
69 WARREN STREET,40.7148972,-74.0100101
75 NASSAU STREET,40.7098717,-74.0083935
28 WATER STREET,40.7032593,-74.0110796
144 FULTON STREET,40.7103822,-74.0085811
14 VESEY STREET,40.7119165,-74.0092197
17 WARREN STREET,40.7138352,-74.0077194
98 CHAMBERS STREET,40.7146119,-74.0077375
135 WILLIAM STREET,40.7094738,-74.006709
123 WILLIAM STREET,40.7093228,-74.0071418
41 JOHN STREET,40.709471,-74.0079497
59 MURRAY STREET,40.7144389,-74.0097359
57 WARREN STREET,40.71462,-74.009487
45 WARREN STREET,40.7144389,-74.0090469
53 MURRAY STREET,40.7143456,-74.0094906
47 MURRAY STREET,40.7142385,-74.0092561
80 NASSAU STREET,40.7097866,-74.007874
26 VESEY STREET,40.7120976,-74.0097067
99 BROAD STREET,40.7033965,-74.0113501
10 BARCLAY STREET,40.7122184,-74.009144
265 BROADWAY,40.7140575,-74.0067996
8 WARREN STREET,40.714085,-74.0072144
72 NASSAU STREET,40.7095862,-74.0081193
102 FULTON STREET,40.7095506,-74.0068532
45 JOHN STREET,40.7093447,-74.0077766
53 WARREN STREET,40.7145624,-74.0093175
19 WARREN STREET,40.7138873,-74.0078348
19 MURRAY STREET,40.7137253,-74.0081198
58 PEARL STREET,40.7033993,-74.0111842
